Exercise,Diet,Source Location,Clutch,Individual number,Body Length,Leg length (mm),Arm length (mm),Head Width (mm) ,Heart Mass (g),Liver Mass (g),Struggle (number of kicks),Righting time (s),Distance traveled in 1 min (cm),Spontaneous Acitivty - 95%quantile (cm),exhaustion score,Stamina score,Recovery score,ln RadioTelemetry distance
1,1,QLD,Innisfail 2,244,34.5,0.35942029,0.24057971,0.342028986,0.001043478,0.001246377,8,1,506,26.8734,4.697202271,0.125839303,-0.094370727,45.9
0,1,QLD,Innisfail 2,246,37.3,0.36997319,0.246648794,0.324396783,0.000965147,0.004182306,4,1,721,33.943,3.882594195,0.014598459,0.031562215,21
1,0,QLD,Innisfail 2,248,25.7,0.373540856,0.260700389,0.315175097,0.000466926,0.002762646,2,1,435,18.6179,4.817859279,0.383725598,-0.083149316,
1,1,QLD,Innisfail 2,249,28.8,0.364583333,0.21875,0.340277778,0.000972222,0.001979167,8,12,403,15.508,5.616916542,-0.303881707,0.070933851,
1,0,QLD,Innisfail 2,251,31.5,0.387301587,0.266666667,0.33968254,0.000539683,0.002730159,8,1,655,29.8531,3.995076561,-0.124414025,-0.193876652,
1,0,QLD,Innisfail 2,254,26.3,0.372623574,0.273764259,0.368821293,0.000646388,0.002509506,4,1,540,9.7185,4.60386934,0.100367405,-0.029165739,
1,1,QLD,Innisfail 2,255,28.7,0.358885017,0.254355401,0.327526132,0.000662021,0.002996516,5,1,384,23.3746,5.208337953,0.307531772,-0.039105935,7.7
0,1,QLD,Innisfail 2,257,26.9,0.36802974,0.252788104,0.360594796,0.000371747,0.002453532,5,1,621,21.8831,4.90771624,0.358033831,-0.402031336,
1,1,QLD,Innisfail 2,258,26.3,0.357414449,0.254752852,0.368821293,0.000380228,0.000836502,5,1,540,18.5953,4.986274293,0.093882006,-0.019845393,
0,1,QLD,Innisfail 2,259,25.8,0.348837209,0.271317829,0.337209302,0.000891473,0.002751938,9,1,592,30.3037,4.635990328,0.027692013,-0.035743825,
0,0,QLD,Innisfail 2,260,27.7,0.357400722,0.259927798,0.36101083,0.00101083,0.004584838,5,1,795,32.6866,4.831189598,-0.290674493,-0.028261158,11.9
1,0,QLD,Innisfail 2,261,33.6,0.37797619,0.264880952,0.345238095,0.00047619,0.003333333,5,1,797,30.8619,3.899342952,-0.320907401,-0.022896089,
1,1,QLD,Innisfail 2,262,27.2,0.375,0.246323529,0.345588235,0.000588235,0.001838235,0,3,353,15.7683,5.1711088,0.516255209,0.008480995,
0,1,QLD,Innisfail 2,264,25.4,0.358267717,0.279527559,0.334645669,0.000944882,0.004409449,5,1,502,47.829,5.522780047,0.534777513,-0.040972806,38.8
0,1,QLD,Innisfail 2,265,33.2,0.385542169,0.277108434,0.346385542,0.000542169,0.00189759,0,6,499,17.0105,4.635214307,0.422627408,-0.270589012,
1,1,QLD,Innisfail 2,267,31.7,0.353312303,0.249211356,0.362776025,0.001198738,0.002996845,1,2,248,17.3118,5.619893491,-0.171521471,0.173491663,
